uid,u0,u1,u2,u3
0.0,0.27836938509379616,0.4245175907491331,0.8447761323199037,0.004718856190972565
1.0,0.5493121812093378,0.7624001116613601,0.20117434717697724,0.8096652444857516
2.0,0.8971594522898971,0.8690604956061814,0.29722529163388145,0.9309485625716705
3.0,0.6150570588211927,0.5920197890296472,0.580701424565464,0.5802145678496801
4.0,0.8797418301982552,0.5629783243895857,0.0957229182374123,0.7343448251570811
5.0,0.6073695225717184,0.9582528392652596,0.09523429085834723,0.214857949428629
6.0,0.7106529703235621,0.9822801602567656,0.9323752324533161,0.9747673875105105
7.0,0.8017232847730441,0.6107361028893245,0.8689152583731403,0.34008951011089283
8.0,0.11520635794665723,0.31685434226652676,0.708690505213105,0.4196363341003072
9.0,0.14149349783979126,0.2565851140467188,0.8400276984396109,0.4445258033934537
10.0,0.5555236677469257,0.4210551709297776,0.20946577393331167,0.779400989163872
11.0,0.9459952906497318,0.9667740326135048,0.3029931185659349,0.9250711072971397
12.0,0.9742396477977691,0.6523743101655181,0.23000727487794936,0.952396397634698
13.0,0.711017189842408,0.8411131659932051,0.1452724138469128,0.8702751519787187
14.0,0.01195291894845052,0.12156852940408369,0.5933401298078079,0.5933892197691671
15.0,0.298951035022036,0.023363039846699296,0.24062849289583044,0.7405856757448481
16.0,0.5919000292906189,0.27413508223628524,0.12526765212478885,0.7693750578420309
17.0,0.18052382025587121,0.7372018593425039,0.1282215329236841,0.03889600067233012
18.0,0.5226807686643833,0.6809601871411155,0.44757167849933976,0.31157087324083643
19.0,0.19078533674748255,0.36458956914791163,0.795360821057492,0.7723477865214029
20.0,0.07457042283769022,0.37501245852205856,0.7494890667058312,0.9450510669192193
21.0,0.8926890136119459,0.9322060490953575,0.3792154151127709,0.12317192509757591
22.0,0.8059985355576398,0.8715621295288086,0.15410965083428563,0.945784550126947
23.0,0.5903762464071552,0.9390515241145552,0.8171782368940862,0.13139256022350188
24.0,0.4296489374600151,0.18809663031854962,0.5352960512263907,0.4419337789804275
25.0,0.5176953326777132,0.0016579523327007184,0.3655443837660576,0.876706610479435
26.0,0.7293861952568688,0.6075768227426821,0.851994172056495,0.06901223350838792
27.0,0.9958502069171487,0.6867710417467815,0.6855270310078762,0.9687915428113875
28.0,0.8074720426068688,0.05992126267540976,0.9350257914219208,0.1826361054582477
29.0,0.08443953213277533,0.06090695765018084,0.2468092845670281,0.08204365292089799
30.0,0.5292729203041147,0.35307417005650843,0.9648239392217036,0.30822449108026073
31.0,0.28020965136807097,0.5542897084491856,0.7748491481474056,0.539048847399247
32.0,0.05076122441626685,0.5275351211168664,0.8698414587992911,0.8798212165833396
33.0,0.7547080541399225,0.7664054194842218,0.10851695982991927,0.8852383434041661
34.0,0.94713616722927,0.08001043020056686,0.08297333857308331,0.1799183395739269
35.0,0.3611475019571515,0.8736446023717334,0.4640300635395237,0.05353714062505932
36.0,0.22664478004644129,0.8826102161249644,0.3870834880226308,0.049233082240575876
37.0,0.6001614086955204,0.9127150240582029,0.6496820064917916,0.12713189954476722
38.0,0.1360529395888892,0.3569021968154965,0.9495625066409495,0.10316626236818549
39.0,0.9383181280029359,0.6316968416887244,0.12117686572586173,0.4613602977511233
40.0,0.7985032245322689,0.552806873449106,0.09599819391681064,0.41154820570412054
41.0,0.7576081613457433,0.5746324821382667,0.1331768894809432,0.22293592813176133
42.0,0.5362207660287175,0.17895242406898315,0.48768201126992683,0.983608509387867
43.0,0.22721042439722716,0.3557389132178834,0.46578727986471835,0.44684684356761717
44.0,0.09435972411280891,0.8741179002537823,0.35035671947959823,0.9400082927106549
45.0,0.9633390663108208,0.18068804846627595,0.43389240615490066,0.18293319975013045
46.0,0.533720059592348,0.2278194404559868,0.2959888628098437,0.6370041524215905
47.0,0.292102142438461,0.05643424256403495,0.5649188049254628,0.7486598142115085
48.0,0.4779817709555375,0.7604241619696016,0.6785750789789061,0.7243353346285138
49.0,0.7966195029553322,0.4803117108288847,0.37818979315083834,0.7660871924462542
50.0,0.4946676014971425,0.24372453058374743,0.5781691858507533,0.2257929719479721
51.0,0.6512954538818978,0.12693096179695618,0.7658352804361565,0.6033037990183948
52.0,0.15328605190944655,0.6349727493565294,0.9270909320322286,0.4814910516988782
53.0,0.6777266809520999,0.16372968769063134,0.5501988748478973,0.08889638513118947
54.0,0.394172056674426,0.5380545387750378,0.013144309425116796,0.8373701418514898
55.0,0.7462216637874898,0.9947416536981719,0.030217026419795734,0.5049927232882859
56.0,0.40777007538515486,0.755406762401186,0.09657031754431,0.5274534751752508
57.0,0.9271095323845484,0.8227375668036914,0.7126223208879123,0.006112141773286672
58.0,0.20519068970787346,0.34748178425551346,0.42856586047824785,0.8533882259698624
59.0,0.8330620691346108,0.0693901527357157,0.6008159529265473,0.05437947611644711
60.0,0.37611838801063824,0.6877259976154438,0.897144048438711,0.21405097081858382
61.0,0.3023527771413326,0.7953989926441637,0.19221428860614254,0.348316386278815
62.0,0.10364611156465964,0.3429005299081005,0.8418447229032834,0.1305558439949629
63.0,0.10089941060392293,0.31236686211205333,0.003640551109708512,0.20905536894375043
64.0,0.4493211687774704,0.9193117265897688,0.050567285189934585,0.8239203141634301
65.0,0.4301793827746533,0.9109525893379552,0.3642344287932595,0.8249945966209467
66.0,0.9529178487312068,0.042138079188585476,0.09017718572556066,0.3191879713009974
67.0,0.5929214710352497,0.38958790196386917,0.998155623714784,0.03390948181188169
